linha,coluna,valor,motivo
359,data_emissao_recebimento,,Data inválida — ignorada
360,vencimento,C/APRES,Data inválida — ignorada
360,data_emissao_recebimento,,Data inválida — ignorada
361,vencimento,C/APRES,Data inválida — ignorada
361,data_emissao_recebimento,,Data inválida — ignorada
362,vencimento,C/APRES,Data inválida — ignorada
362,data_emissao_recebimento,,Data inválida — ignorada
363,vencimento,C/APRES,Data inválida — ignorada
363,data_emissao_recebimento,,Data inválida — ignorada
364,vencimento,Bonificado,Data inválida — ignorada
364,data_emissao_recebimento,,Data inválida — ignorada
365,vencimento,C/APRES,Data inválida — ignorada
365,data_emissao_recebimento,,Data inválida — ignorada
366,vencimento,C/APRES,Data inválida — ignorada
366,data_emissao_recebimento,,Data inválida — ignorada
367,vencimento,C/APRES,Data inválida — ignorada
367,data_emissao_recebimento,,Data inválida — ignorada
368,vencimento,C/APRES,Data inválida — ignorada
368,data_emissao_recebimento,,Data inválida — ignorada
369,vencimento,Permuta,Data inválida — ignorada
369,data_emissao_recebimento,,Data inválida — ignorada
370,data_emissao_recebimento,,Data inválida — ignorada
371,vencimento,Permuta,Data inválida — ignorada
371,data_emissao_recebimento,,Data inválida — ignorada
372,data_emissao_recebimento,,Data inválida — ignorada
373,vencimento,Projeto,Data inválida — ignorada
373,data_emissao_recebimento,,Data inválida — ignorada
374,vencimento,Projeto,Data inválida — ignorada
374,data_emissao_recebimento,,Data inválida — ignorada
375,data_emissao_recebimento,,Data inválida — ignorada
376,data_emissao_recebimento,,Data inválida — ignorada
377,data_emissao_recebimento,,Data inválida — ignorada
378,data_emissao_recebimento,,Data inválida — ignorada
379,data_emissao_recebimento,,Data inválida — ignorada
380,vencimento,C/APRES,Data inválida — ignorada
380,data_emissao_recebimento,,Data inválida — ignorada
381,data_emissao_recebimento,,Data inválida — ignorada
382,data_emissao_recebimento,,Data inválida — ignorada
383,data_emissao_recebimento,,Data inválida — ignorada
384,vencimento,C/APRES,Data inválida — ignorada
384,data_emissao_recebimento,,Data inválida — ignorada
385,data_emissao_recebimento,,Data inválida — ignorada
386,data_emissao_recebimento,,Data inválida — ignorada
387,data_emissao_recebimento,,Data inválida — ignorada
388,data_emissao_recebimento,,Data inválida — ignorada
389,data_final_veiculacao,99/99/9999,Data inválida — ignorada
389,data_emissao_recebimento,,Data inválida — ignorada
389,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
390,vencimento,15DFM,Data inválida — ignorada
390,data_emissao_recebimento,,Data inválida — ignorada
391,data_emissao_recebimento,,Data inválida — ignorada
392,data_emissao_recebimento,,Data inválida — ignorada
393,data_final_veiculacao,99/99/9999,Data inválida — ignorada
393,data_emissao_recebimento,,Data inválida — ignorada
393,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
394,data_final_veiculacao,99/99/9999,Data inválida — ignorada
394,data_emissao_recebimento,,Data inválida — ignorada
394,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
395,data_final_veiculacao,99/99/9999,Data inválida — ignorada
395,data_emissao_recebimento,,Data inválida — ignorada
395,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
396,data_final_veiculacao,99/99/9999,Data inválida — ignorada
396,data_emissao_recebimento,,Data inválida — ignorada
396,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
397,data_final_veiculacao,99/99/9999,Data inválida — ignorada
397,data_emissao_recebimento,,Data inválida — ignorada
397,data_inicial_veiculacao,99/99/9999,Data inválida — ignorada
